State,City,Location,location_key
Karnataka,Bengaluru,Rajarajeshwari Nagar,1
Karnataka,Bengaluru,Kengeri,2
Karnataka,Bengaluru,Kanmanike Village,3
Karnataka,Bengaluru,Bidadi,4
Karnataka,Bengaluru,Kengeri Satellite Town,5
Karnataka,Bengaluru,Kanakapura Road,6
Karnataka,Bengaluru,Jawaharlal Nehru Road,7
Karnataka,Bengaluru,KENGERI UPANAGAR,8
Karnataka,Bengaluru,Rr Nagar,9
Karnataka,Bengaluru,Gopalan Arcade Mall,10
Karnataka,Bengaluru,Forum Mall,11
Karnataka,Bengaluru,Kanakapura,12
Karnataka,Bengaluru,KENGERI SATELLITE TOWN,13
Karnataka,Bengaluru,Uttarahalli,14
Karnataka,Bengaluru,Global Mall,15
Karnataka,Bengaluru,Mysore Road,16
Karnataka,Bengaluru,Vijay Nagar,17
Karnataka,Bengaluru,vijayanagar,18
Karnataka,Bengaluru,Banashankari,19
Karnataka,Bengaluru,BBMP West,20
Karnataka,Bengaluru,RR Nagar,21
Karnataka,Bengaluru,Beml Layout,22
Karnataka,Bengaluru,Whitefield,23
Karnataka,Bengaluru,Varthur Gunjur,24
Karnataka,Bengaluru,"Hope Farm, Varthur Main Road",25
Karnataka,Bengaluru,Varthur,26
Karnataka,Bengaluru,WHITEFIELD,27
Karnataka,Bengaluru,Hesaraghatta,28
Karnataka,Bengaluru,Jalahalli Cross,29
Karnataka,Bengaluru,Vidyaranyapura,30
Karnataka,Bengaluru,M.S.Ramaiah Enclave,31
Karnataka,Bengaluru,Dasarahalli,32
Karnataka,Bengaluru,maruti layout,33
Karnataka,Bengaluru,Mathikere- BELÃ‚Âroad,34
Karnataka,Bengaluru,Peenya,35
Karnataka,Bengaluru,Jalahalli-Peenya,36
Karnataka,Bengaluru,Jalahalli,37
Karnataka,Bengaluru,Yelahanka,38
Karnataka,Bengaluru,New BEL Road,39
Karnataka,Bengaluru,R.M.V. 2nd Stage,40
Karnataka,Bengaluru,"Sanjay Nagar, New BEL Road",41
