Restaurant Name,restaurant_key
Anand Sweets & Savouries,1
Srinidhi Sagar Deluxe,2
Thalassery Restaurant,3
Appu Donne Biriyani Palace,4
Bismillah Taj Hotel,5
Nisarga Family Daba,6
Swadh Restaurant,7
Sri Vinayaka Hot Chips,8
Chinese Wok,9
Pizza Hut,10
A2B - Adyar Ananda Bhavan,11
Big Bowl,12
Olio - The Wood Fired Pizzeria,13
KFC,14
The Belgian Waffle Co.,15
Kanti Sweets,16
Polar Bear,17
NIC Ice Creams,18
Grameen Kulfi,19
Quick Crave,20
Nandhana Palace,21
Dum Safar Biryani,22
Subway,23
Burger King,24
Taco Bell,25
The Good Bowl,26
Kwality Walls Ice Cream and More,27
Theobroma,28
Baskin Robbins - Ice Cream Desserts,29
chickpet Donne Biryani House,30
LunchBox  Meals and Thalis,31
NH1 Bowls - Highway To North,32
McDonald's,33
Bakingo,34
Domino's Pizza,35
"WeFit - Protein Bowls, Salads & Sandwiches",36
Daily Kitchen - Everyday Homely Meals,37
RNR Biryani - Taste of 1953,38
Andhra Gunpowder,39
Wendy's Burgers,40
"Faasos - Wraps, Rolls & Shawarma",41
LunchBox - Meals and Thalis,42
EatFit,43
Sweet Truth - Cake and Desserts,44
The Biryani Life,45
Cheesecake & co.,46
Homely,47
Great Indian Khichdi by EatFit,48
Starbucks Coffee,49
Home Plate by EatFit,50
Tiffin Story,51
ITC Master Chef Creations,52
Chickpet Donne Biryani House,53
HRX by EatFit,54
Cafe Coffee Day,55
La Pino'z Pizza,56
Biryani By Kilo,57
Goila Butter Chicken,58
Pastas By Pizza Hut,59
Paris Panini - Gourmet Sandwiches & Wraps,60
Brik Oven - Original Sourdough Pizzas,61
The Pizza Bakery - Wood Fired Sourdough,62
Veg Meals by Lunchbox,63
Blue Tokai Coffee Roasters,64
ZAZA Mughal Biryani,65
LeanCrust Pizza- ThinCrust Experts,66
Good Flippin' Burgers,67
Urban Tadka,68
"Dabba Garam (Homestyle,Combo, Thali & More)",69
BOOM - Sub Style Sandwiches,70
"Bhatti Chicken - Grilled, NOT Fried!",71
Hola Pasta - Fresh Gourmet Pasta,72
Itminaan Matka Biryani - Slow Cooked,73
Mealful Rolls - India's Biggest Rolls,74
GLOBO Ice Creams Of The World,75
BOX8 - Desi Meals,76
Oven Story Pizza,77
MOJO Pizza - 2X Toppings,78
Apsara Ice Creams,79
Suchali's Artisan Bakehouse,80
Cinnabon,81
Aromas Cafe & Bistro,82
PizzaExpress,83
Jumboking Burgers,84
Baklavas By Mezaya,85
Nom Nom: Asian Bar & Eatery,86
Barbecue by Punjab Grill,87
Copper Kitchen,88
Salem RR Biriyani Unavagam,89
Popeyes,90
The Brownie Studio,91
Buhari Hotel,92
"Ovenfresh Pizzas, Cakes & Desserts",93
Junior Kuppanna,94
Ss Hyderabad Biryani,95
McCafe by McDonald's,96
Sangeetha Veg Restaurant,97
Anjappar,98
Dindigul Thalappakatti - Since 1957,99
Wow! Momo,100
Wow! China,101
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",102
Meat and Eat,103
Frozen Bottle,104
Behrouz Biryani,105
McDonald's Gourmet Burger Collection,106
Ghar ka Khana by EatFit,107
Bheemeshwara - A South Indian Delicacy,108
Chaayos Chai+Snacks=Relax,109
Wakhra Swaad,110
Ghar Ka Tadka,111
Thalairaj Biryani,112
Natural Ice Cream,113
Mad Over Donuts,114
Donald's Pastry Shop,115
Dunkin' - Donuts & Coffee,116
Short Crust: Cakes & More,117
Cheesecake & Co.,118
Salad Days,119
